entity_id,entity_name,segment,priority_score,avg_risk_score,avg_quality_score,estimated_impact
SPE009,Spend category 9,Watch,93.53,51.3,79.6,773308
SPE001,Spend category 1,Growth,90.55,49.3,79.5,747389
SPE013,Spend category 13,Strategic,88.20,49.3,78.7,711057
SPE020,Spend category 20,Strategic,87.94,51.8,79.4,688875
SPE028,Spend category 28,Growth,85.44,50.7,80.3,668005
SPE005,Spend category 5,Watch,85.31,55.7,80.0,621317
SPE031,Spend category 31,Core,84.92,54.5,82.2,636020
SPE033,Spend category 33,Growth,84.16,53.9,80.3,622325
SPE011,Spend category 11,Core,83.25,50.9,81.5,640603
SPE025,Spend category 25,Watch,82.88,51.9,81.7,627450
SPE010,Spend category 10,Growth,81.90,53.7,77.0,577471
SPE036,Spend category 36,Strategic,81.64,50.6,80.8,618104
SPE030,Spend category 30,Core,81.63,54.8,79.0,572999
SPE016,Spend category 16,Watch,81.33,52.5,81.0,597139
SPE018,Spend category 18,Strategic,80.87,53.5,82.1,587533
SPE019,Spend category 19,Core,80.26,52.8,81.6,583288
SPE017,Spend category 17,Core,79.99,52.0,80.3,580320
SPE032,Spend category 32,Watch,78.62,50.4,80.6,576408
SPE022,Spend category 22,Watch,78.61,50.7,81.7,578319
SPE002,Spend category 2,Strategic,78.43,51.0,82.2,575695
SPE023,Spend category 23,Growth,77.15,52.1,80.1,539032
SPE026,Spend category 26,Growth,77.06,48.6,79.9,566950
SPE007,Spend category 7,Growth,76.83,49.9,80.4,554491
SPE004,Spend category 4,Strategic,76.16,48.6,80.5,556708
SPE012,Spend category 12,Core,75.89,48.5,80.9,555729
