category_id,category_name,category_family,strategic_tier,business_owner,modeled_spend,off_contract_spend,off_contract_pct,supplier_count,supplier_concentration_score,market_index,six_month_market_pressure_pct,avg_price_variance_pct,avg_supplier_service_score,quality_risk_score,savings_potential,criticality_score,highest_leakage_business_unit,recommended_move,rank
CAT-004,Diesel Fuel and Lubricants,Energy,Strategic,Transportation,563227452.49,82740704.71,0.1469,7,19.5,Diesel fuel,0.3055,0.0439,88.2,11.8,15521684.62,58.9,Finance,Advance sourcing strategy,1
CAT-001,Rail and Track Materials,Engineering materials,Strategic,Engineering,331226282.28,68298243.84,0.2062,5,25.9,Steel mill products,0.142,0.0776,87.7,12.3,14826540.23,58.7,Mechanical,Advance sourcing strategy,2
CAT-007,Engineering Contractors,Field services,Strategic,Engineering,226636333.9,102383138.66,0.4518,12,11.7,Construction labor,0.0914,0.1174,89.6,10.4,17481016.65,58.3,Information technology,Advance sourcing strategy,3
CAT-003,Signal and Communications,Technology equipment,Strategic,Network operations,148065612.81,44624892.93,0.3014,6,22.6,Electronic components,0.0364,0.0928,89.0,11.0,8385923.55,49.1,Mechanical,Tighten contract compliance,4
CAT-006,Intermodal Terminal Services,Operations services,Bottleneck,Intermodal,184441589.15,67983911.35,0.3686,9,15.1,Freight labor,0.0087,0.1207,88.1,11.9,13253957.14,47.5,Facilities,Tighten contract compliance,5
CAT-002,Locomotive Components,Mechanical parts,Strategic,Mechanical,250567352.04,65434477.79,0.2611,4,31.3,Industrial machinery,-0.0231,0.1003,88.1,11.9,14329463.69,46.6,Transportation,Tighten contract compliance,6
CAT-010,Professional Services,Corporate services,Routine,Finance,77553019.25,43338908.65,0.5588,26,5.3,Professional labor,0.0707,0.1749,88.3,11.7,8285980.63,46.3,Engineering,Tighten contract compliance,7
CAT-009,Facilities Maintenance,Corporate services,Routine,Facilities,72263652.55,35184931.93,0.4869,22,6.8,Facilities services,0.0387,0.1619,88.6,11.4,6944024.22,44.3,Finance,Tighten contract compliance,8
CAT-005,MRO Tools and Shop Supplies,Indirect materials,Leverage,Mechanical,100076858.91,44109540.37,0.4408,18,8.2,Industrial supplies,-0.017,0.142,88.6,11.4,8592589.81,43.4,Network operations,Tighten contract compliance,9
CAT-008,IT and Network Services,Technology services,Leverage,Information technology,125655195.71,36048557.48,0.2869,10,13.8,Cloud services,0.0132,0.0777,87.8,12.2,6312108.14,42.1,Information technology,Tighten contract compliance,10
