supplier_id,supplier_name,category_id,category_name,supplier_type,diversity_status,financial_risk,latest_service_score,trailing_service_score,trailing_defect_rate_pct,six_month_safety_incidents,supplier_risk_score,sla_status,follow_up
SUP-027,Indirect Supplier 5,CAT-005,MRO Tools and Shop Supplies,Distributor,Small business,High,84.3,85.8,2.71,2,30.3,Watch,Executive QBR
SUP-008,Mechanical Supplier 3,CAT-002,Locomotive Components,Distributor,Diverse,Low,85.7,84.6,3.29,1,27.1,Watch,Executive QBR
SUP-112,Corporate Supplier 19,CAT-010,Professional Services,Distributor,Diverse,Low,80.0,84.3,3.21,1,27.0,Watch,Executive QBR
SUP-021,Energy Supplier 6,CAT-004,Diesel Fuel and Lubricants,Regional specialist,Not classified,High,84.4,84.2,2.62,1,24.7,Watch,Executive QBR
SUP-029,Indirect Supplier 7,CAT-005,MRO Tools and Shop Supplies,Incumbent,Non-diverse,Medium,87.2,87.4,2.35,1,21.9,Meets SLA,Recovery check
SUP-064,Technology Supplier 3,CAT-008,IT and Network Services,Regional specialist,Non-diverse,Low,82.9,84.7,3.48,0,21.9,Watch,Recovery check
SUP-092,Corporate Supplier 21,CAT-009,Facilities Maintenance,Distributor,Diverse,Medium,87.0,83.2,3.29,0,21.9,Meets SLA,Recovery check
SUP-058,Field Supplier 9,CAT-007,Engineering Contractors,Distributor,Small business,Low,90.7,87.9,2.22,1,21.2,Meets SLA,Recovery check
SUP-040,Indirect Supplier 18,CAT-005,MRO Tools and Shop Supplies,Incumbent,Not classified,High,88.7,87.8,2.12,1,20.8,Meets SLA,Recovery check
SUP-118,Corporate Supplier 25,CAT-010,Professional Services,Distributor,Not classified,Low,89.4,88.0,1.99,1,20.2,Meets SLA,Recovery check
SUP-019,Energy Supplier 4,CAT-004,Diesel Fuel and Lubricants,Incumbent,Small business,Low,93.1,88.4,1.99,1,20.0,Meets SLA,Recovery check
SUP-068,Technology Supplier 7,CAT-008,IT and Network Services,Regional specialist,Not classified,Low,85.4,84.7,3.01,0,20.0,Watch,Recovery check
