entity_id,entity_name,segment,owner
SPE001,Spend category 1,Growth,Operations
SPE002,Spend category 2,Strategic,Product
SPE003,Spend category 3,Watch,Analytics
SPE004,Spend category 4,Strategic,Analytics
SPE005,Spend category 5,Watch,Analytics
SPE006,Spend category 6,Growth,Customer
SPE007,Spend category 7,Growth,Revenue
SPE008,Spend category 8,Core,Operations
SPE009,Spend category 9,Watch,Customer
SPE010,Spend category 10,Growth,Revenue
SPE011,Spend category 11,Core,Product
SPE012,Spend category 12,Core,Revenue
SPE013,Spend category 13,Strategic,Analytics
SPE014,Spend category 14,Core,Revenue
SPE015,Spend category 15,Watch,Revenue
SPE016,Spend category 16,Watch,Revenue
SPE017,Spend category 17,Core,Operations
SPE018,Spend category 18,Strategic,Revenue
SPE019,Spend category 19,Core,Operations
SPE020,Spend category 20,Strategic,Customer
SPE021,Spend category 21,Core,Customer
SPE022,Spend category 22,Watch,Revenue
SPE023,Spend category 23,Growth,Product
SPE024,Spend category 24,Strategic,Product
SPE025,Spend category 25,Watch,Product
SPE026,Spend category 26,Growth,Customer
SPE027,Spend category 27,Strategic,Customer
SPE028,Spend category 28,Growth,Product
SPE029,Spend category 29,Growth,Operations
SPE030,Spend category 30,Core,Customer
SPE031,Spend category 31,Core,Revenue
SPE032,Spend category 32,Watch,Customer
SPE033,Spend category 33,Growth,Operations
SPE034,Spend category 34,Core,Customer
SPE035,Spend category 35,Watch,Operations
SPE036,Spend category 36,Strategic,Analytics
