invoice_id,month,category_id,supplier_id,business_unit,region,contract_status,spend_amount,volume,unit_price,price_variance_pct,payment_terms_days,critical_purchase
INV-10001,2025-01,CAT-001,SUP-005,Finance,Mid-Atlantic,Catalog mismatch,198933.97,30,6631.13,0.1097,30,Yes
INV-10002,2025-01,CAT-001,SUP-001,Transportation,Southeast,On contract,233039.13,12,19419.93,0.0008,45,Yes
INV-10003,2025-01,CAT-001,SUP-001,Finance,Gulf,On contract,126278.37,63,2004.42,0.0773,30,Yes
INV-10004,2025-01,CAT-001,SUP-001,Information technology,Gulf,On contract,162618.15,48,3387.88,0.061,60,No
INV-10005,2025-01,CAT-001,SUP-002,Intermodal,Midwest,Catalog mismatch,1214944.83,97,12525.2,0.1972,30,Yes
INV-10006,2025-01,CAT-001,SUP-002,Mechanical,Gulf,Catalog mismatch,167370.27,37,4523.52,0.1698,30,Yes
INV-10007,2025-01,CAT-001,SUP-001,Intermodal,Mid-Atlantic,On contract,76317.79,36,2119.94,0.0627,60,Yes
INV-10008,2025-01,CAT-001,SUP-004,Facilities,Systemwide,Catalog mismatch,536386.54,52,10315.13,0.2322,30,Yes
INV-10009,2025-01,CAT-001,SUP-002,Information technology,Southeast,On contract,111758.12,55,2031.97,0.053,60,No
INV-10010,2025-01,CAT-001,SUP-001,Finance,Gulf,On contract,208805.6,28,7457.34,0.0407,30,No
INV-10011,2025-01,CAT-001,SUP-001,Network operations,Southeast,On contract,131829.54,48,2746.45,0.1388,30,No
INV-10012,2025-01,CAT-001,SUP-001,Information technology,Midwest,On contract,523668.37,36,14546.34,0.0745,75,Yes
INV-10013,2025-01,CAT-001,SUP-004,Mechanical,Systemwide,On contract,146615.88,141,1039.83,0.057,30,Yes
INV-10014,2025-01,CAT-001,SUP-001,Mechanical,Mid-Atlantic,Expired agreement,244875.03,82,2986.28,0.0631,75,Yes
INV-10015,2025-01,CAT-001,SUP-002,Finance,Midwest,On contract,150964.0,89,1696.22,0.1065,75,Yes
INV-10016,2025-01,CAT-001,SUP-001,Mechanical,Gulf,On contract,326553.82,20,16327.69,0.0896,45,Yes
INV-10017,2025-01,CAT-001,SUP-002,Network operations,Southeast,On contract,126792.53,120,1056.6,0.0846,45,Yes
INV-10018,2025-01,CAT-001,SUP-002,Network operations,Southeast,On contract,80798.87,44,1836.34,0.0684,60,Yes
INV-10019,2025-01,CAT-001,SUP-003,Information technology,Southeast,On contract,116111.41,30,3870.38,0.0591,60,Yes
INV-10020,2025-01,CAT-001,SUP-001,Facilities,Systemwide,Catalog mismatch,640331.56,54,11857.99,0.1183,75,Yes
INV-10021,2025-01,CAT-001,SUP-003,Mechanical,Systemwide,Expired agreement,150443.06,59,2549.88,0.1681,75,Yes
INV-10022,2025-01,CAT-001,SUP-001,Finance,Gulf,Expired agreement,181773.72,17,10692.57,0.174,60,Yes
INV-10023,2025-01,CAT-001,SUP-004,Mechanical,Midwest,On contract,168068.59,57,2948.57,0.0183,75,Yes
INV-10024,2025-01,CAT-001,SUP-003,Finance,Mid-Atlantic,On contract,156025.88,18,8668.1,0.0361,60,Yes
INV-10025,2025-01,CAT-001,SUP-003,Mechanical,Mid-Atlantic,On contract,255374.59,184,1387.91,0.024,60,Yes
INV-10026,2025-01,CAT-001,SUP-002,Finance,Midwest,On contract,409275.84,8,51159.48,0.0589,75,Yes
INV-10027,2025-01,CAT-001,SUP-001,Engineering,Midwest,On contract,96109.91,21,4576.66,0.0456,30,Yes
